Date,Open,High,Low,Close,Volume
7-Oct-16,476.30,486.65,474.00,486.00,36279518
6-Oct-16,472.00,476.50,469.90,473.50,28008869
5-Oct-16,466.90,472.00,465.35,472.00,31283504
4-Oct-16,460.00,471.85,458.40,467.95,59391584
3-Oct-16,450.85,459.30,449.45,458.40,21450778
30-Sep-16,447.05,451.75,443.40,450.00,27469071
29-Sep-16,451.45,453.25,447.73,451.00,36916539
28-Sep-16,430.00,436.10,430.00,432.25,17195742
27-Sep-16,434.65,435.35,426.30,428.20,18809895
26-Sep-16,430.90,434.75,429.05,432.00,20133650
23-Sep-16,432.50,439.55,431.55,436.90,19589947
22-Sep-16,428.35,438.95,428.35,434.60,29859363
21-Sep-16,426.40,428.45,422.75,424.30,17011584
20-Sep-16,425.05,427.50,422.50,423.95,16658973
19-Sep-16,424.10,430.70,424.10,426.30,20451822
16-Sep-16,421.40,421.65,411.60,420.40,57092751
15-Sep-16,416.35,421.56,413.45,421.15,21349423
14-Sep-16,421.70,424.65,417.40,417.50,20894912
13-Sep-16,430.05,431.50,420.10,420.55,29596723
12-Sep-16,427.05,432.98,423.00,428.70,20956138
9-Sep-16,435.85,437.05,429.70,432.15,18332511
8-Sep-16,434.00,438.95,432.40,437.15,19472746
7-Sep-16,428.90,434.80,428.90,433.35,20160674
6-Sep-16,435.65,437.30,425.75,427.65,18007930
5-Sep-16,432.20,439.70,430.41,434.80,20720597
2-Sep-16,419.75,434.00,418.45,431.00,37615284
1-Sep-16,427.65,428.80,416.50,418.75,23286395
31-Aug-16,432.90,434.10,426.90,427.90,29555312
30-Aug-16,433.65,434.85,430.20,433.70,22202044
26-Aug-16,431.05,435.90,430.20,434.85,17333675
25-Aug-16,429.40,434.21,424.98,432.00,23209552
24-Aug-16,426.00,431.30,425.10,429.00,22948760
23-Aug-16,428.35,431.50,427.35,428.60,17731188
22-Aug-16,433.85,435.09,426.15,427.90,20668403
19-Aug-16,436.45,438.54,433.85,434.35,18705639
18-Aug-16,436.00,436.85,431.73,435.55,17178041
17-Aug-16,438.00,439.95,430.85,432.75,20909023
16-Aug-16,436.00,440.30,434.36,436.25,22469657
15-Aug-16,431.95,438.68,431.05,436.85,18569994
12-Aug-16,435.40,437.75,428.18,432.70,22684021
11-Aug-16,423.70,432.30,419.25,432.30,23299373
10-Aug-16,423.25,425.95,421.10,423.00,21378284
9-Aug-16,421.80,428.35,419.20,425.20,23958061
8-Aug-16,421.20,422.65,417.20,422.15,19645570
5-Aug-16,416.50,423.38,416.35,419.35,28647028
4-Aug-16,414.70,419.40,408.63,416.35,31570932
3-Aug-16,414.80,417.60,410.64,415.00,26785263
2-Aug-16,417.55,419.75,412.90,413.90,25549342
1-Aug-16,431.80,433.10,418.35,418.35,24596389
29-Jul-16,426.50,428.10,421.60,426.85,28261191
28-Jul-16,437.25,437.50,426.65,426.65,33404106
27-Jul-16,435.50,442.15,429.20,434.05,26124594
26-Jul-16,430.00,438.00,426.20,434.60,38003650
25-Jul-16,451.45,453.60,439.15,440.35,23257163
22-Jul-16,448.70,453.00,446.86,452.10,16288482
21-Jul-16,451.00,452.60,448.00,450.80,20750818
20-Jul-16,455.00,455.45,447.30,451.20,17375371
19-Jul-16,447.40,453.85,445.65,452.80,17810550
18-Jul-16,455.85,456.40,449.30,449.30,20404676
15-Jul-16,452.00,457.15,450.68,457.15,29853910
14-Jul-16,460.00,463.40,454.65,454.65,31751187
13-Jul-16,459.25,464.40,455.70,455.70,39026017
12-Jul-16,456.80,463.78,453.00,461.80,35410516
11-Jul-16,459.85,460.00,453.80,459.00,27243697
8-Jul-16,454.30,458.05,445.80,457.00,32622988
7-Jul-16,451.55,458.55,451.40,453.30,30795986
6-Jul-16,452.85,459.15,442.05,449.40,48458109
5-Jul-16,446.00,453.80,440.10,453.55,44461276
4-Jul-16,447.25,450.00,443.87,446.80,21414457
1-Jul-16,441.00,445.85,437.01,445.40,39957562
30-Jun-16,425.05,438.15,421.85,438.15,47570474
29-Jun-16,410.00,424.80,409.29,424.80,46907019
28-Jun-16,401.10,407.55,385.00,404.45,41310331
27-Jun-16,393.70,401.55,391.80,394.95,50959035
24-Jun-16,363.00,399.00,355.00,396.52,86003892
23-Jun-16,385.00,389.35,381.65,386.95,24272153
22-Jun-16,384.75,388.20,382.25,383.40,30975431
21-Jun-16,376.70,384.75,374.70,382.30,28257605
20-Jun-16,377.55,383.05,376.20,378.95,30901037
17-Jun-16,368.90,375.82,364.85,373.15,55861180
16-Jun-16,364.00,368.12,359.90,364.85,42985214
15-Jun-16,359.55,362.50,356.85,359.50,34695263
14-Jun-16,367.00,370.25,357.70,358.20,43065626
13-Jun-16,366.30,371.10,365.85,368.90,23205954
10-Jun-16,372.60,373.21,367.60,370.75,25604940
9-Jun-16,375.50,376.05,369.55,372.60,27135967
8-Jun-16,372.70,378.65,371.35,376.55,29227220
7-Jun-16,370.20,374.50,369.55,373.25,28537600
6-Jun-16,362.70,369.85,362.55,368.40,33153959
3-Jun-16,356.80,362.70,356.05,358.55,32047256
2-Jun-16,355.45,358.85,351.85,353.10,35855004
1-Jun-16,355.15,357.76,349.35,353.60,27808488
31-May-16,362.10,362.90,353.76,357.25,45481610
27-May-16,364.65,364.90,359.45,361.95,25818467
26-May-16,366.90,369.60,362.50,364.45,29319874
25-May-16,361.90,366.25,359.77,366.00,33172365
24-May-16,356.15,359.85,355.55,357.80,29609296
23-May-16,360.55,362.20,356.45,357.50,21179309
20-May-16,360.95,363.60,358.33,361.50,31138349
19-May-16,362.20,362.95,355.00,356.00,32628913
18-May-16,364.70,367.35,361.85,364.60,25111673
17-May-16,367.20,370.15,363.60,366.30,28305800
16-May-16,362.50,367.65,360.00,366.00,16089312
13-May-16,358.20,363.05,356.40,362.50,22069334
12-May-16,359.30,367.75,357.10,360.10,32183499
11-May-16,357.00,362.10,354.35,361.20,27161035
10-May-16,354.45,359.50,352.30,357.55,33447183
9-May-16,359.95,370.00,351.30,351.50,29749617
6-May-16,357.00,362.00,350.75,360.80,29136636
5-May-16,357.90,365.18,356.95,358.35,24948992
4-May-16,366.20,369.65,361.75,362.55,32549956
3-May-16,375.75,377.50,366.65,368.40,34257430
29-Apr-16,379.00,380.45,373.75,373.75,35955968
28-Apr-16,381.10,388.40,375.70,382.30,28817746
27-Apr-16,380.00,384.95,376.65,382.45,44358638
26-Apr-16,370.00,380.77,365.00,375.90,50592714
25-Apr-16,368.50,368.50,358.00,360.35,33137795
22-Apr-16,366.30,368.60,353.22,368.30,27483894
21-Apr-16,366.10,369.96,365.55,368.60,33486161
20-Apr-16,361.00,364.50,357.85,363.65,28037163
19-Apr-16,358.75,364.30,355.93,362.95,34840113
18-Apr-16,348.95,358.05,249.44,355.80,30657599
15-Apr-16,360.00,360.85,351.80,355.95,36225322
14-Apr-16,365.45,365.90,357.60,358.55,40970324
13-Apr-16,362.00,367.40,361.31,365.45,41993471
12-Apr-16,352.00,358.40,349.80,356.95,27793844
11-Apr-16,351.30,353.70,348.55,351.85,23796962
8-Apr-16,342.85,350.90,342.73,350.35,29627700
7-Apr-16,341.15,344.00,337.89,339.30,24404745
6-Apr-16,340.55,341.85,335.45,339.55,28862917
5-Apr-16,340.50,346.70,335.08,337.45,37738218
4-Apr-16,342.90,348.60,341.90,344.70,21791420
1-Apr-16,346.40,352.21,338.19,343.80,37265112
31-Mar-16,354.05,356.92,350.05,350.15,31816340
30-Mar-16,348.30,360.60,348.30,355.55,33369172
29-Mar-16,354.45,357.28,343.95,346.34,30139186
24-Mar-16,353.30,355.25,347.55,353.35,24399421
23-Mar-16,360.20,361.60,353.90,356.10,22700279
22-Mar-16,357.00,362.20,354.85,360.75,30797772
21-Mar-16,354.95,360.65,352.50,356.20,23292960
18-Mar-16,359.40,362.55,356.95,357.00,45205336
17-Mar-16,355.20,360.40,342.20,359.60,36380034
16-Mar-16,346.00,354.45,344.30,350.10,34276990
15-Mar-16,342.00,344.35,339.90,342.00,30296279
14-Mar-16,349.45,353.10,335.62,345.45,31720244
11-Mar-16,349.00,355.80,344.80,348.37,31977980
10-Mar-16,354.95,356.65,343.15,343.20,40393967
9-Mar-16,350.80,357.45,350.45,356.00,29820703
8-Mar-16,363.90,364.45,351.15,358.12,34254190
7-Mar-16,365.05,368.35,355.75,365.55,35729315
4-Mar-16,365.00,371.15,360.90,367.90,32570687
3-Mar-16,355.00,364.70,352.38,362.00,43012243
2-Mar-16,353.00,353.90,346.10,352.90,33138363
1-Mar-16,351.00,355.35,347.95,350.65,26360065
29-Feb-16,347.00,351.55,344.65,351.45,34032015
26-Feb-16,343.30,351.50,341.60,349.55,37033247
25-Feb-16,339.55,346.49,336.25,338.45,33668671
24-Feb-16,343.15,344.05,332.56,335.00,49183386
23-Feb-16,354.00,354.60,344.15,345.35,36018858
22-Feb-16,347.60,358.90,347.60,356.85,16935500
19-Feb-16,345.25,351.00,341.00,343.25,21442029
18-Feb-16,351.00,352.30,310.00,345.40,37157001
17-Feb-16,336.05,350.95,335.15,349.85,48674651
16-Feb-16,341.25,348.25,334.28,337.40,46799234
15-Feb-16,339.60,339.85,331.75,332.80,26581426
12-Feb-16,317.00,332.83,316.11,332.50,53437303
11-Feb-16,319.70,321.09,309.10,310.25,44515040
10-Feb-16,335.20,337.70,326.35,330.10,37071488
9-Feb-16,344.50,347.70,334.45,334.45,39797669
8-Feb-16,352.90,353.40,337.85,343.90,34851104
5-Feb-16,350.00,356.55,345.40,350.65,31656213
4-Feb-16,341.00,354.40,338.20,350.85,55197405
3-Feb-16,332.35,337.10,324.55,332.35,46922293
2-Feb-16,348.10,349.80,330.10,335.10,67238082
1-Feb-16,379.45,381.80,359.70,366.95,47852182
29-Jan-16,376.05,377.80,366.90,376.10,51400805
28-Jan-16,362.50,378.80,360.85,368.45,56977254
27-Jan-16,356.00,362.90,349.95,362.90,40218775
26-Jan-16,342.20,357.80,338.00,356.50,39526943
25-Jan-16,352.80,353.43,343.05,350.15,45037100
22-Jan-16,350.85,357.80,347.45,352.70,42686987
21-Jan-16,328.60,344.15,326.05,342.25,43456261
20-Jan-16,333.70,336.20,325.10,328.15,58538334
19-Jan-16,346.30,351.45,339.65,342.45,38784432
18-Jan-16,336.65,347.35,333.10,340.50,35471852
15-Jan-16,349.30,349.65,335.55,338.15,52047580
14-Jan-16,332.20,353.10,330.35,347.70,55247593
13-Jan-16,327.10,342.10,325.00,335.85,51660073
12-Jan-16,328.00,336.90,322.40,323.10,43739636
11-Jan-16,329.05,336.00,327.35,328.05,34189186
8-Jan-16,339.70,339.71,328.70,328.70,37281949
7-Jan-16,337.00,339.40,324.60,337.70,54399418
6-Jan-16,350.40,352.02,339.10,343.45,26775687
5-Jan-16,349.00,352.50,343.50,348.15,22210077
4-Jan-16,351.25,353.45,343.80,347.55,27796985
31-Dec-15,355.00,356.35,352.61,354.00,6616006
30-Dec-15,358.00,358.00,353.90,355.15,16577461
29-Dec-15,357.15,362.85,356.85,360.75,21556254
24-Dec-15,363.90,366.30,362.95,365.95,6387136
23-Dec-15,348.10,360.85,347.95,360.40,26992564
22-Dec-15,342.00,345.30,338.40,344.95,23208214
21-Dec-15,339.50,345.00,335.20,335.20,25304229
18-Dec-15,338.05,345.30,336.35,339.30,41954358
16-Dec-15,340.00,346.65,339.40,340.20,31738362
15-Dec-15,330.50,340.25,330.50,337.70,35268340
14-Dec-15,338.45,340.00,328.80,329.30,36152440
11-Dec-15,349.50,351.25,337.10,338.00,30594824
10-Dec-15,351.80,354.70,348.55,350.95,28791058
9-Dec-15,348.75,356.85,343.90,350.45,33200553
8-Dec-15,344.80,352.75,340.00,347.80,36497711
7-Dec-15,356.25,358.20,346.60,347.60,29104493
4-Dec-15,369.10,375.25,356.80,359.70,35282308
3-Dec-15,380.60,382.30,368.37,368.55,34812493
2-Dec-15,382.75,386.20,380.35,382.00,31188716
1-Dec-15,386.35,387.48,382.25,384.55,19882816
30-Nov-15,384.80,389.00,383.20,385.25,38724520
27-Nov-15,387.45,388.35,385.10,386.55,18596100
26-Nov-15,386.10,390.90,385.30,389.60,19113981
25-Nov-15,386.70,389.35,382.15,386.10,24679629
24-Nov-15,380.70,387.00,377.80,385.90,29303678
23-Nov-15,375.00,385.85,372.70,380.75,28601854
20-Nov-15,384.70,385.65,379.65,381.30,31213559
19-Nov-15,384.10,389.95,381.95,385.15,28509634
18-Nov-15,375.00,384.90,373.11,382.50,27725847
17-Nov-15,377.95,380.20,374.50,378.55,31529183
16-Nov-15,362.35,373.10,362.35,368.65,25912540
13-Nov-15,365.95,369.80,360.35,364.50,24272386
12-Nov-15,376.40,379.15,367.10,367.25,30772486
11-Nov-15,383.80,384.55,376.95,377.90,21149141
10-Nov-15,385.15,386.85,381.05,382.50,23774941
9-Nov-15,386.20,392.30,382.60,382.60,23302083
6-Nov-15,389.20,395.05,384.80,386.50,29198419
5-Nov-15,393.10,395.90,387.25,390.45,28369766
4-Nov-15,402.90,411.50,401.70,402.05,42181009
3-Nov-15,389.70,403.25,386.55,403.25,38606956
2-Nov-15,386.40,389.20,380.85,388.25,18413340
30-Oct-15,393.05,393.95,383.60,386.40,28205534
29-Oct-15,390.85,392.90,382.20,391.70,30746635
28-Oct-15,382.65,393.15,377.45,391.00,32606441
27-Oct-15,390.00,392.87,376.75,380.00,38265369
26-Oct-15,386.75,389.25,382.50,384.40,21151748
23-Oct-15,391.90,395.05,385.90,388.10,24369067
22-Oct-15,381.00,390.45,380.55,388.55,33983765
21-Oct-15,378.65,385.40,375.20,380.95,31386671
20-Oct-15,376.80,378.20,370.95,376.55,21557138
19-Oct-15,383.65,387.00,375.55,377.25,16423186
16-Oct-15,383.00,389.85,382.10,384.00,23041405
15-Oct-15,381.45,386.35,379.60,379.65,26057646
14-Oct-15,379.30,383.55,375.30,377.65,25690261
13-Oct-15,383.10,384.90,376.25,382.75,26787103
12-Oct-15,390.75,393.30,383.55,384.80,22332897
9-Oct-15,393.00,397.30,390.35,391.60,31469504
8-Oct-15,384.75,389.70,380.40,388.95,28168045
7-Oct-15,377.50,393.85,376.90,387.00,55833929
6-Oct-15,370.60,379.00,362.30,378.10,35972057
5-Oct-15,359.85,369.15,356.05,368.00,41527497
2-Oct-15,342.70,353.00,341.80,351.45,39258794
1-Oct-15,339.05,349.85,339.05,342.25,39528776
30-Sep-15,329.95,334.00,328.00,334.00,34377914
29-Sep-15,319.90,330.00,319.90,326.20,28976536
28-Sep-15,333.60,335.20,322.98,323.05,20922840
25-Sep-15,329.15,334.80,328.28,333.30,30335204
24-Sep-15,327.30,327.35,321.70,322.90,29498797
23-Sep-15,326.50,334.10,325.90,329.45,27281847
22-Sep-15,334.65,334.65,321.85,325.20,39256635
21-Sep-15,331.00,336.40,330.10,333.55,26083324
18-Sep-15,343.85,347.36,329.55,333.45,69805339
17-Sep-15,345.40,346.78,342.90,345.70,37908293
16-Sep-15,339.60,347.15,337.25,345.85,30440696
15-Sep-15,333.65,339.95,328.45,338.70,32666382
14-Sep-15,335.90,339.50,329.75,332.00,23938698
11-Sep-15,337.15,339.45,333.05,333.50,24628984
10-Sep-15,339.80,342.05,333.05,335.30,40410477
9-Sep-15,345.30,347.55,341.95,342.50,27224087
8-Sep-15,339.10,346.60,338.10,340.20,41734455
7-Sep-15,339.80,345.70,335.54,336.00,19672443
4-Sep-15,350.00,350.80,334.89,337.90,41926800
3-Sep-15,351.00,358.75,252.55,355.85,39210094
2-Sep-15,349.00,353.00,341.99,345.30,39084305
1-Sep-15,358.45,363.75,347.30,349.40,49596822
28-Aug-15,355.00,360.80,348.85,360.50,42872157
27-Aug-15,337.70,354.14,333.70,351.20,49798698
26-Aug-15,330.95,339.90,327.45,331.20,61137453
25-Aug-15,335.70,338.80,332.65,335.35,84090118
24-Aug-15,345.15,362.85,326.25,336.80,65858373
21-Aug-15,363.80,369.18,357.20,357.20,33162761
20-Aug-15,365.10,374.85,362.55,369.60,35511178
19-Aug-15,373.50,373.50,366.40,367.50,28182564
18-Aug-15,378.30,379.80,373.05,373.75,20269131
17-Aug-15,380.00,381.00,374.15,378.15,20175371
14-Aug-15,380.20,382.45,377.10,379.25,27280319
13-Aug-15,389.30,391.75,382.25,383.15,29092685
12-Aug-15,378.00,384.80,376.20,383.60,38008015
11-Aug-15,385.55,390.10,380.46,380.50,27376193
10-Aug-15,386.40,387.70,379.50,385.50,26804566
7-Aug-15,384.40,391.01,383.80,385.60,36228598
6-Aug-15,386.00,386.00,380.15,383.20,31827236
5-Aug-15,390.00,397.35,388.95,395.05,26044731
4-Aug-15,389.95,392.70,385.75,390.40,25057006
3-Aug-15,392.70,395.40,387.20,391.45,21007258
31-Jul-15,402.90,402.90,392.40,395.45,30730853
30-Jul-15,399.00,405.85,397.60,401.00,32930589
29-Jul-15,396.05,399.10,391.65,398.60,38350926
28-Jul-15,385.00,396.78,383.00,392.65,40707312
27-Jul-15,393.60,396.40,384.15,387.30,27329708
24-Jul-15,401.70,402.60,394.10,394.70,30946362
23-Jul-15,405.40,407.05,400.10,401.00,32436907
22-Jul-15,412.80,413.35,406.59,406.60,25951631
